Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil    128.937mil    378.937mil    128.937mil    378.937mil    128.937mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil   2187.795mil   7907.796mil   2187.795mil   7907.796mil   2187.795mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL    378.937mil   2184.843mil    378.937mil   2184.843mil    378.937mil   2184.843mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   7907.796mil     131.89mil   7907.796mil     131.89mil   7907.796mil     131.89mil  T         90.00 Comment        
Q3         SOT23-3           7525.764mil   1768.681mil   7525.465mil   1766.366mil   7488.063mil   1726.996mil  T        360.00 BSN20BKR       
R10        R0603             7402.462mil   1869.363mil   7402.465mil   1869.366mil   7429.233mil   1869.363mil  T        180.00 1K             
R6         R0603             7471.462mil   1533.798mil   7471.465mil   1533.795mil   7471.462mil   1507.027mil  T         90.00 1K             
R7         R0603             7359.462mil   1661.338mil   7359.465mil   1661.341mil   7386.233mil   1661.338mil  T        180.00 1K             
R8         R0603              7358.95mil   1594.934mil   7358.953mil   1594.937mil   7385.721mil   1594.934mil  T        180.00 1K             
R9         R0603             7319.462mil   1853.369mil   7319.465mil   1853.366mil   7319.462mil   1826.598mil  T         90.00 1K             
C7         C0805             7227.953mil   1499.638mil   7227.953mil   1499.937mil   7227.953mil   1537.339mil  T        270.00 10uF           
C8         C0603             7027.953mil   1347.937mil   7027.953mil   1347.937mil   7001.181mil   1347.937mil  T        360.00 22uF           
U3         SOT89-150P347X160-3L   7139.181mil   1477.524mil   7080.126mil   1477.524mil   7137.213mil   1418.468mil  T        180.00 AZ1117CR-3.3TRG1
R11        R0603              7532.95mil   1607.369mil   7532.953mil   1607.366mil    7532.95mil   1580.598mil  T         90.00 1K             
R12        R0603              7532.95mil   1502.369mil   7532.953mil   1502.366mil    7532.95mil   1475.598mil  T         90.00 R0603TBD       
U1         LGA12C50P4X4_200X200X100   7616.953mil   1597.937mil   7616.953mil   1597.937mil   7587.425mil   1626.992mil  T          0.00 IIS2DHTR       

